Name;Series;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Rating;Predecessors_Count;Predecessors_Global_Sales_Mean;Predecessors_JP_Sales_Mean;Predecessors_EU_Sales_Mean;Predecessors_NA_Sales_Mean;Predecessors_Other_Sales_Mean
Pokemon Diamond/Pokemon Pearl;"";DS;2006;Role-Playing;Nintendo;6.38;4.46;6.04;1.36;18.25;0.0;0;0.0;0;;5;6.936;2.198;1.77;2.658;0.30400000000000005
Super Mario Land;"";G;1989;Platform;Nintendo;10.83;2.71;4.18;0.42;18.14;0.0;0;0.0;0;;3;8.03;1.855;2.0149999999999997;3.69;0.465
Super Mario Bros. 3;"";NES;1988;Platform;Nintendo;9.54;3.44;3.84;0.46;17.28;0.0;0;0.0;0;;12;12.363636363636363;2.537272727272727;2.5527272727272727;6.592727272727273;0.6818181818181819
Grand Theft Auto V;"";X360;2013;Action;Take-Two Interactive;9.66;5.17;0.06;1.41;16.3;97.0;58;8.1;3722;M;4;10.3625;0.3425;4.7425;3.6175;1.6575000000000002
Grand Theft Auto: Vice City;Grand Theft Auto;PS2;2002;Action;Take-Two Interactive;8.41;5.49;0.47;1.78;16.15;95.0;62;8.7;736;M;51;4.959;0.11466666666666665;1.680666666666667;2.2449999999999997;0.9186666666666665
Pokemon Ruby/Pokemon Sapphire;"";GBA;2002;Role-Playing;Nintendo;6.06;3.9;5.38;0.5;15.85;0.0;0;0.0;0;;3;11.95;3.1;3.64;4.45;0.76
Brain Age 2: More Training in Minutes a Day;Brain Age 2;DS;2005;Puzzle;Nintendo;3.43;5.35;5.32;1.18;15.29;77.0;37;7.1;19;E;3;0.09;0.0;0.0;0.09;0.01
Pokemon Black/Pokemon White;"";DS;2010;Role-Playing;Nintendo;5.51;3.18;5.66;0.8;15.14;0.0;0;0.0;0;;1;8.08;3.15;1.72;2.79;0.41
Gran Turismo 3: A-Spec;Gran Turismo 3;PS2;2001;Racing;Sony Computer Entertainment;6.85;5.09;1.87;1.16;14.98;95.0;54;8.4;314;E;15;6.308888888888889;0.9566666666666666;2.085555555555556;1.8211111111111111;1.4444444444444442
Pokemon X/Pokemon Y;"";3DS;2013;Role-Playing;Nintendo;5.39;4.37;4.36;0.8;14.92;0.0;0;0.0;0;;0;0;0;0;0;0
Call of Duty: Black Ops 3;Call of Duty;PS4;2015;Shooter;Activision;6.08;5.95;0.36;2.41;14.8;0.0;0;0.0;0;;65;3.8245312499999997;0.061874999999999986;1.2778125000000005;2.0331249999999996;0.4532812500000001
Call of Duty: Modern Warfare 3;Call of Duty;X360;2011;Shooter;Activision;9.06;4.26;0.13;1.33;14.77;88.0;81;3.4;8715;M;65;3.825;0.06546874999999998;1.3042187500000006;1.9865625000000002;0.47015625000000005
Call of Duty: Black Ops;Call of Duty;X360;2010;Shooter;Activision;9.73;3.7;0.11;1.13;14.67;87.0;89;6.3;1456;M;65;3.8265624999999996;0.06578124999999999;1.3129687500000007;1.97609375;0.47328125000000004
Pok\xc3\xa9mon Yellow: Special Pikachu Edition;Pok\xc3\xa9mon Yellow;G;1998;Role-Playing;Nintendo;5.89;5.04;3.12;0.59;14.64;0.0;0;0.0;0;;13;4.368333333333333;1.2616666666666667;0.9616666666666666;1.8416666666666668;0.305
Call of Duty: Black Ops II;Call of Duty;PS3;2012;Shooter;Activision;4.99;5.73;0.65;2.42;13.79;83.0;21;5.3;921;M;51;4.275799999999999;0.06359999999999999;1.4469999999999998;2.2563999999999997;0.5112
Call of Duty: Black Ops II;Call of Duty;X360;2012;Shooter;Activision;8.25;4.26;0.07;1.12;13.69;83.0;73;4.8;2261;M;51;4.2778;0.07519999999999999;1.4764000000000002;2.1912000000000003;0.5371999999999999
Call of Duty: Modern Warfare 2;Call of Duty;X360;2009;Shooter;Activision;8.52;3.6;0.08;1.28;13.48;94.0;100;6.3;2702;M;65;3.8451562499999996;0.06624999999999998;1.3145312500000006;1.995;0.4709375
Grand Theft Auto V;"";PS4;2014;Action;Take-Two Interactive;4.12;6.77;0.39;2.08;13.36;97.0;66;8.3;2955;M;4;11.0975;0.26;4.3425;5.0024999999999995;1.49
Call of Duty: Modern Warfare 3;Call of Duty;PS3;2011;Shooter;Activision;5.54;5.73;0.49;1.57;13.32;88.0;39;3.2;5237;M;65;3.84765625;0.05984374999999999;1.2812500000000007;2.0415625;0.46640625
Grand Theft Auto III;"";PS2;2001;Action;Take-Two Interactive;6.99;4.51;0.3;1.3;13.1;97.0;56;8.5;667;M;3;1.406666666666667;0.0;0.41;0.8966666666666666;0.10333333333333333
Mario Kart 7;"";3DS;2011;Racing;Nintendo;5.2;4.19;2.7;0.94;13.04;85.0;73;8.2;633;E;8;13.867142857142857;2.4442857142857144;4.16;6.341428571428571;0.9228571428571428
Super Smash Bros. Brawl;"";Wii;2008;Fighting;Nintendo;6.64;2.56;2.66;1.01;12.87;93.0;81;8.9;1667;T;2;5.24;1.395;0.8500000000000001;2.79;0.21
Call of Duty: Black Ops;Call of Duty;PS3;2010;Shooter;Activision;6.0;4.37;0.48;1.8;12.64;88.0;58;6.4;1095;M;65;3.8582812499999997;0.059999999999999984;1.3025000000000007;2.034375;0.46281250000000007
Animal Crossing: Wild World;Animal Crossing;DS;2005;Simulation;Nintendo;2.5;3.45;5.33;0.86;12.13;86.0;57;8.6;243;E;9;3.6916666666666664;1.3583333333333334;0.8766666666666666;1.2683333333333333;0.19166666666666665
Halo 3;"";X360;2007;Shooter;Microsoft Game Studios;7.97;2.81;0.13;1.21;12.12;94.0;86;7.8;4109;M;13;4.3525;0.03416666666666667;0.9725;3.070833333333333;0.27333333333333326
Pokemon Omega Ruby/Pokemon Alpha Sapphire;"";3DS;2014;Role-Playing;Nintendo;4.45;3.64;3.1;0.76;11.95;0.0;0;0.0;0;;0;0;0;0;0;0
Super Mario 64;"";N64;1996;Platform;Nintendo;6.91;2.85;1.91;0.23;11.89;0.0;0;0.0;0;;38;9.581000000000001;1.915333333333333;2.053;5.136666666666668;0.4759999999999999
Pokemon HeartGold/Pokemon SoulSilver;"";DS;2009;Action;Nintendo;4.34;2.71;3.96;0.76;11.77;0.0;0;0.0;0;;25;0.1;0.08;0.01;0.0;0.0
Gran Turismo 4;"";PS2;2004;Racing;Sony Computer Entertainment;3.01;0.01;1.1;7.53;11.66;89.0;74;8.5;273;E;9;6.677777777777778;1.0422222222222224;2.6500000000000004;2.2477777777777774;0.7366666666666667
Pokemon Sun/Moon;"";3DS;2016;Role-Playing;Nintendo;5.01;2.74;2.88;0.77;11.4;0.0;0;0.0;0;;0;0;0;0;0;0
Super Mario Galaxy;"";Wii;2007;Platform;Nintendo;6.06;3.36;1.2;0.74;11.36;97.0;73;8.9;2159;E;1;7.54;0.98;2.36;3.58;0.62
Super Mario Land 2: 6 Golden Coins;Super Mario Land 2;G;1992;Adventure;Nintendo;6.16;2.04;2.69;0.29;11.18;0.0;0;0.0;0;;33;0;0;0;0;0
Grand Theft Auto IV;"";X360;2008;Action;Take-Two Interactive;6.77;3.07;0.14;1.03;11.01;98.0;86;7.9;2958;M;2;5.695;0.22;2.245;2.3899999999999997;0.8400000000000001
Gran Turismo;"";PS;1997;Racing;Sony Computer Entertainment;4.02;3.87;2.54;0.52;10.95;96.0;16;8.8;140;E;9;6.756666666666666;0.8822222222222222;2.2211111111111115;2.1355555555555554;1.5155555555555553
Super Mario 3D Land;"";3DS;2011;Platform;Nintendo;4.89;3.05;2.14;0.78;10.87;90.0;82;8.4;925;E;0;0;0;0;0;0
Gran Turismo 5;"";PS3;2010;Racing;Sony Computer Entertainment;2.96;4.82;0.81;2.11;10.7;84.0;82;7.5;1115;E;9;6.784444444444444;1.0744444444444445;2.1155555555555554;2.253333333333333;1.3388888888888888
Call of Duty: Modern Warfare 2;Call of Duty;PS3;2009;Shooter;Activision;4.99;3.64;0.38;1.6;10.6;94.0;67;6.3;2077;M;65;3.8901562499999995;0.061562499999999985;1.3139062500000007;2.0501562499999997;0.4659375
Super Mario All-Stars;"";SNES;1993;Platform;Nintendo;5.99;2.15;2.12;0.29;10.55;0.0;0;0.0;0;;1;2.58;0.92;0.52;1.01;0.14
Grand Theft Auto IV;"";PS3;2008;Action;Take-Two Interactive;4.77;3.7;0.44;1.61;10.51;98.0;64;7.5;2849;M;2;5.945;0.07;1.93;3.3899999999999997;0.55
Pokemon FireRed/Pokemon LeafGreen;"";GBA;2004;Role-Playing;Nintendo;4.34;2.65;3.15;0.35;10.49;0.0;0;0.0;0;;30;8.275882352941178;2.6441176470588235;2.0794117647058825;3.1258823529411766;0.42470588235294116
Super Mario 64;"";DS;2004;Platform;Nintendo;5.01;3.07;1.25;0.97;10.31;0.0;0;0.0;0;;38;9.633666666666668;1.937333333333333;2.0456666666666665;5.200000000000001;0.4513333333333333
Call of Duty: Ghosts;Call of Duty;X360;2013;Shooter;Activision;6.75;2.58;0.04;0.91;10.28;73.0;29;2.6;2118;M;65;3.8951562500000003;0.06687499999999998;1.330468750000001;2.02265625;0.4767187500000001
Just Dance 3;"";Wii;2011;Misc;Ubisoft;5.95;3.11;0.0;1.06;10.12;74.0;15;7.8;16;E10+;49;1.0835555555555558;0.025555555555555554;0.3477777777777778;0.6133333333333334;0.09688888888888882
New Super Mario Bros. 2;"";3DS;2012;Platform;Nintendo;3.66;3.27;2.49;0.63;10.05;78.0;70;7.2;425;E;3;21.16;4.159999999999999;5.833333333333333;9.353333333333333;1.8166666666666667
Halo: Reach;Halo;X360;2010;Shooter;Microsoft Game Studios;7.06;1.97;0.08;0.79;9.9;91.0;99;7.9;2053;M;15;4.19;0.03538461538461538;0.9623076923076924;2.9061538461538463;0.2846153846153846
Mario Kart 64;"";N64;1996;Racing;Nintendo;5.55;1.94;2.23;0.15;9.87;0.0;0;0.0;0;;8;14.320000000000002;2.511428571428571;4.481428571428571;6.291428571428571;1.0357142857142858
Halo 4;"";X360;2012;Shooter;Microsoft Game Studios;6.68;2.3;0.04;0.74;9.77;87.0;87;7.0;3273;M;13;4.548333333333333;0.041666666666666664;1.015;3.178333333333333;0.31249999999999994
Final Fantasy VII;"";PS;1997;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72;92.0;20;9.2;1297;T;15;1.3735714285714284;0.5407142857142857;0.15071428571428572;0.4885714285714286;0.19357142857142856
Gran Turismo 2;"";PS;1999;Racing;Sony Computer Entertainment;3.88;3.42;1.69;0.5;9.49;93.0;23;9.0;135;T;9;6.9188888888888895;0.9766666666666668;2.271111111111111;2.151111111111111;1.5177777777777777
Just Dance 2;"";Wii;2010;Misc;Ubisoft;5.8;2.85;0.01;0.78;9.44;74.0;24;7.3;24;E10+;49;1.098666666666667;0.025333333333333333;0.3535555555555555;0.6166666666666667;0.10311111111111104
Call of Duty: Ghosts;Call of Duty;PS3;2013;Shooter;Activision;4.1;3.63;0.38;1.26;9.37;71.0;10;2.6;1049;M;65;3.909375;0.06156249999999998;1.3140625000000008;2.0640624999999995;0.47125000000000006
Call of Duty 4: Modern Warfare;Call of Duty 4;X360;2007;Shooter;Activision;5.95;2.37;0.13;0.9;9.35;94.0;70;8.4;1322;M;65;3.9096875;0.06546874999999998;1.3337500000000002;2.03515625;0.47687500000000005
Animal Crossing: New Leaf;Animal Crossing;3DS;2012;Simulation;Nintendo;2.08;2.43;4.43;0.4;9.34;88.0;70;8.7;628;E;37;2.63;1.0066666666666668;0.6511111111111112;0.811111111111111;0.16444444444444448
Donkey Kong Country;"";SNES;1994;Platform;Nintendo;4.36;1.71;3.0;0.23;9.3;0.0;0;0.0;0;;9;2.7611111111111106;0.7111111111111111;0.6533333333333334;1.2666666666666666;0.1277777777777778
Minecraft;"";X360;2013;Misc;Microsoft Game Studios;5.76;2.7;0.02;0.82;9.3;0.0;0;0.0;0;;11;3.278;0.262;1.3119999999999998;1.2560000000000002;0.44800000000000006
FIFA 17;"";PS4;2016;Sports;Electronic Arts;0.9;6.75;0.09;1.33;9.07;85.0;41;4.9;442;E;141;1.1571428571428575;0.018721804511278195;0.6966165413533836;0.23992481203007512;0.20142857142857148
Mario Party DS;"";DS;2007;Misc;Nintendo;4.4;1.85;1.98;0.68;8.91;72.0;27;7.8;85;E;0;0;0;0;0;0
The Elder Scrolls V: Skyrim;The Elder Scrolls V;X360;2011;Role-Playing;Bethesda Softworks;5.08;2.8;0.1;0.86;8.84;96.0;89;8.4;3602;M;44;2.296923076923077;0.18307692307692308;0.7992307692307693;1.046153846153846;0.26692307692307693
Super Mario Kart;"";SNES;1992;Racing;Nintendo;3.54;1.24;3.81;0.18;8.76;0.0;0;0.0;0;;1;5.47;0.99;1.64;2.62;0.23
FIFA 16;"";PS4;2015;Sports;Electronic Arts;1.13;6.13;0.06;1.28;8.6;82.0;42;4.3;902;E;141;1.1606766917293236;0.018947368421052633;0.701278195488722;0.23819548872180446;0.20180451127819554
Halo 2;"";X;2004;Shooter;Microsoft Game Studios;6.82;1.53;0.05;0.08;8.49;95.0;91;8.2;1224;M;13;4.654999999999999;0.04083333333333333;1.0791666666666666;3.166666666666666;0.36749999999999994
Wii Party;"";Wii;2010;Misc;Nintendo;1.75;3.48;2.49;0.67;8.39;68.0;42;7.5;55;E;4;0.575;0.2875;0.1475;0.1225;0.0175
Mario Party 8;"";Wii;2007;Misc;Nintendo;3.74;2.25;1.58;0.71;8.28;62.0;41;6.3;191;E;13;2.476923076923077;0.7376923076923079;0.4930769230769231;1.1323076923076925;0.11538461538461542
Star Wars Battlefront (2015);"";PS4;2015;Shooter;Electronic Arts;3.11;3.56;0.22;1.32;8.21;0.0;0;0.0;0;;30;1.3506250000000002;0.005625;0.40375;0.8131250000000001;0.13124999999999998
FIFA Soccer 13;"";PS3;2012;Action;Electronic Arts;1.07;5.01;0.13;1.97;8.17;88.0;37;6.5;350;E;71;1.117142857142857;0.014285714285714287;0.7357142857142858;0.22571428571428573;0.14142857142857143
GoldenEye 007;"";N64;1997;Shooter;Nintendo;5.8;2.01;0.13;0.15;8.09;0.0;0;0.0;0;;8;0.48;0.0;0.125;0.3066666666666667;0.049999999999999996
Pokemon Black 2/Pokemon White 2;"";DS;2012;Role-Playing;Nintendo;2.79;1.72;3.15;0.41;8.08;0.0;0;0.0;0;;1;15.14;5.66;3.18;5.51;0.8
Final Fantasy X;"";PS2;2001;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05;92.0;53;8.7;1077;T;6;1.45;0.5549999999999999;0.33;0.4683333333333333;0.09500000000000001
The Sims 3;"";PC;2009;Simulation;Electronic Arts;0.99;6.42;0.0;0.6;8.01;86.0;75;7.6;894;T;80;0.7554545454545457;0.0009090909090909092;0.28623376623376634;0.39428571428571435;0.0732467532467532
Mario & Sonic at the Olympic Games;"";Wii;2007;Sports;Sega;2.57;3.86;0.66;0.91;7.99;0.0;0;0.0;0;;8;3.126666666666667;0.26666666666666666;1.46;1.0633333333333335;0.33666666666666667
Final Fantasy VIII;"";PS;1999;Role-Playing;SquareSoft;2.28;1.72;3.63;0.23;7.86;90.0;24;8.6;658;T;32;1.3075000000000006;0.525;0.2667857142857143;0.42214285714285726;0.09321428571428572
Pac-Man;"";2600;1982;Puzzle;Atari;7.28;0.45;0.0;0.08;7.81;0.0;0;0.0;0;;41;0.9455555555555557;0.11333333333333334;0.16777777777777778;0.6499999999999999;0.01666666666666667
Pok\xc3\xa9mon Platinum Version;"";DS;2008;Role-Playing;Nintendo;2.76;1.72;2.69;0.54;7.72;83.0;46;8.5;204;E;0;0;0;0;0;0
Grand Theft Auto: Liberty City Stories;Grand Theft Auto;PSP;2005;Action;Take-Two Interactive;2.9;2.81;0.24;1.73;7.69;88.0;65;7.6;453;M;28;5.97730769230769;0.1373076923076923;2.0334615384615384;2.7511538461538456;1.0557692307692306
Call of Duty: Advanced Warfare;Call of Duty;PS4;2014;Shooter;Activision;2.83;3.48;0.14;1.24;7.68;83.0;39;5.7;1446;M;65;3.9357812500000007;0.06531249999999998;1.3164062500000009;2.083906249999999;0.4715625000000001
Super Smash Bros. for Wii U and 3DS;"";3DS;2014;Fighting;Nintendo;3.3;1.4;2.44;0.48;7.62;0.0;0;0.0;0;;1;4.93;0.82;1.1;2.63;0.38
The Legend of Zelda: Ocarina of Time;The Legend of Zelda;N64;1998;Action;Nintendo;4.1;1.89;1.45;0.16;7.6;0.0;0;0.0;0;;24;3.1076190476190484;0.519047619047619;0.7866666666666666;1.623333333333333;0.17952380952380947
Crash Bandicoot 2: Cortex Strikes Back;Crash Bandicoot 2;PS;1997;Platform;Sony Computer Entertainment;3.78;2.17;1.31;0.31;7.58;0.0;0;0.0;0;;31;1.9933333333333334;0.1311111111111111;0.7766666666666667;0.9222222222222223;0.16333333333333336
Super Mario Galaxy 2;"";Wii;2010;Platform;Nintendo;3.58;2.36;0.98;0.62;7.54;97.0;87;9.1;1859;E;1;11.36;1.2;3.36;6.06;0.74
Super Mario Bros. 2;"";NES;1988;Platform;Nintendo;5.39;1.18;0.7;0.19;7.46;0.0;0;0.0;0;;12;13.256363636363638;2.8227272727272723;2.7581818181818183;6.97;0.7063636363636364
Call of Duty: Black Ops 3;Call of Duty;XOne;2015;Shooter;Activision;4.62;2.12;0.02;0.69;7.44;0.0;0;0.0;0;;65;3.9395312499999995;0.06718749999999998;1.3376562500000007;2.0559374999999998;0.48015625000000006
Call of Duty: World at War;Call of Duty;X360;2008;Shooter;Activision;4.83;1.9;0.0;0.7;7.42;84.0;84;7.6;583;M;73;3.8210606060606054;0.06545454545454543;1.3006060606060612;1.9909090909090905;0.46545454545454557
Fallout 4;"";PS4;2015;Role-Playing;Bethesda Softworks;2.58;3.42;0.24;1.17;7.41;87.0;58;6.5;4258;M;14;1.8784615384615386;0.02384615384615385;0.5938461538461538;1.0615384615384613;0.19999999999999998
Battlefield 3;"";X360;2011;Shooter;Electronic Arts;4.47;2.11;0.06;0.69;7.33;84.0;57;7.4;2144;M;30;1.6889655172413796;0.052413793103448285;0.6658620689655175;0.7613793103448279;0.2093103448275862
Uncharted 4: A Thiefs End;Uncharted 4;PS4;2016;Shooter;Sony Computer Entertainment;2.92;2.98;0.19;1.18;7.28;93.0;113;7.9;7238;T;37;0.8;0.065;0.34;0.28;0.115
Mario Kart 8;"";WiiU;2014;Racing;Nintendo;3.17;2.25;1.29;0.52;7.23;88.0;82;9.1;1607;E;8;14.697142857142856;2.645714285714285;4.437142857142857;6.631428571428571;0.9828571428571429
Need for Speed Underground;"";PS2;2003;Racing;Electronic Arts;3.27;2.83;0.08;1.02;7.2;85.0;33;8.6;172;E;11;1.4118181818181819;0.010909090909090908;0.5390909090909091;0.7172727272727273;0.1463636363636364
Just Dance;"";Wii;2009;Misc;Ubisoft;3.48;2.99;0.0;0.73;7.2;49.0;21;8.0;110;E10+;49;1.1484444444444446;0.025555555555555554;0.3504444444444444;0.6682222222222223;0.10422222222222217
Battlefield 3;"";PS3;2011;Shooter;Electronic Arts;2.86;2.89;0.35;1.08;7.18;85.0;38;7.5;1762;M;30;1.694137931034483;0.04241379310344828;0.6389655172413794;0.8168965517241382;0.19586206896551722
Tekken 3;"";PS;1998;Fighting;Sony Computer Entertainment;3.27;2.22;1.4;0.29;7.16;96.0;15;9.1;371;T;17;1.661764705882353;0.2317647058823529;0.61;0.6594117647058821;0.15941176470588228
The Legend of Zelda: Twilight Princess;The Legend of Zelda;Wii;2006;Action;Nintendo;3.74;2.14;0.6;0.68;7.16;95.0;73;9.0;1664;T;24;3.1285714285714286;0.5595238095238095;0.7747619047619048;1.6404761904761902;0.1547619047619048
Crash Bandicoot 3: Warped;Crash Bandicoot 3;PS;1998;Platform;Sony Computer Entertainment;3.68;1.75;1.42;0.28;7.13;91.0;12;8.9;439;E;41;1.8733333333333337;0.166;0.6546666666666667;0.9193333333333334;0.13266666666666668
Super Smash Bros. Melee;"";GC;2001;Fighting;Nintendo;4.41;1.04;1.39;0.22;7.07;92.0;38;9.1;573;T;1;5.55;1.97;0.6;2.95;0.04
Mario Kart: Double Dash!!;Mario Kart;GC;2003;Racing;Nintendo;4.12;1.77;0.87;0.19;6.95;0.0;0;0.0;0;;8;14.737142857142858;2.7057142857142855;4.505714285714285;6.4957142857142856;1.03
Need for Speed Underground 2;"";PS2;2004;Racing;Electronic Arts;2.71;3.02;0.08;1.09;6.9;82.0;39;8.6;132;E;11;1.4390909090909092;0.010909090909090908;0.5218181818181818;0.7681818181818183;0.14
Medal of Honor: Frontline;Medal of Honor;PS2;2002;Shooter;Electronic Arts;2.93;2.75;0.17;0.99;6.83;88.0;29;8.5;137;T;31;1.1662499999999998;0.020416666666666666;0.4404166666666667;0.5649999999999998;0.14166666666666666
Crash Bandicoot;"";PS;1996;Platform;Sony Computer Entertainment;3.23;2.35;0.94;0.3;6.82;0.0;0;0.0;0;;18;2.6290000000000004;0.297;0.868;1.286;0.17700000000000005
Just Dance 4;"";Wii;2012;Misc;Ubisoft;4.05;2.16;0.0;0.55;6.76;74.0;10;7.2;29;E10+;49;1.1582222222222225;0.025555555555555554;0.36888888888888893;0.6555555555555556;0.10822222222222215
Gears of War 2;"";X360;2008;Shooter;Microsoft Game Studios;4.15;1.9;0.06;0.64;6.75;93.0;90;7.7;2746;M;6;3.2699999999999996;0.028333333333333335;0.8183333333333334;2.123333333333333;0.29833333333333334
Uncharted 3: Drakes Deception;Uncharted 3;PS3;2011;Action;Sony Computer Entertainment;2.77;2.75;0.19;1.03;6.74;92.0;97;8.3;3732;T;13;3.304;0.096;1.146;1.5499999999999998;0.51
Zumba Fitness;"";Wii;2010;Sports;505 Games;3.46;2.6;0.0;0.66;6.72;0.0;0;0.0;0;E;8;1.4849999999999999;0.0;0.46499999999999997;0.8825000000000001;0.1375
Call of Duty 4: Modern Warfare;Call of Duty 4;PS3;2007;Shooter;Activision;3.11;2.26;0.28;1.03;6.69;94.0;44;8.4;994;M;65;3.9512499999999995;0.063125;1.3354687500000002;2.0795312499999996;0.47484375
Uncharted 2: Among Thieves;Uncharted 2;PS3;2009;Action;Sony Computer Entertainment;3.27;2.2;0.21;0.98;6.67;96.0;105;8.8;5226;T;19;5.486666666666667;0.13333333333333333;2.0866666666666664;2.4066666666666667;0.8633333333333333
FIFA 12;"";PS3;2011;Sports;Electronic Arts;0.84;4.3;0.11;1.4;6.65;0.0;0;0.0;0;;141;1.1753383458646618;0.018571428571428572;0.7150375939849626;0.240375939849624;0.20090225563909778
Big Brain Academy;"";DS;2005;Misc;Nintendo;1.66;2.75;1.6;0.62;6.63;74.0;45;7.4;27;E;1;3.79;0.41;1.91;1.05;0.42
The Legend of Zelda;"";NES;1986;Action;Nintendo;3.74;0.93;1.69;0.14;6.51;0.0;0;0.0;0;;24;3.15952380952381;0.5076190476190476;0.8323809523809522;1.6404761904761906;0.18047619047619048
Red Dead Redemption;"";PS3;2010;Action;Take-Two Interactive;2.8;2.53;0.17;1.0;6.51;95.0;73;8.9;2475;M;3;2.856666666666667;0.056666666666666664;0.9333333333333332;1.58;0.2866666666666667
FIFA 14;"";PS3;2013;Sports;Electronic Arts;0.79;4.24;0.07;1.38;6.48;86.0;37;4.3;576;E;141;1.1766165413533838;0.01887218045112782;0.7154887218045115;0.24075187969924808;0.2010526315789474
Donkey Kong Country Returns;"";Wii;2010;Platform;Nintendo;3.18;1.8;1.03;0.46;6.47;87.0;77;8.6;368;E;1;1.91;0.41;0.62;0.75;0.13
Assassins Creed III;"";PS3;2012;Action;Ubisoft;2.65;2.52;0.16;1.12;6.46;85.0;41;6.9;1314;M;4;1.975;0.0225;0.71;1.0325;0.21000000000000002
